"","HUC_i","HUC_j","points_i","length_i","area_i","points_j","length_j","area_j","distance_ij"
"17108",55,155,1864,258598.894036,986638704.338,17884,2205895.39613,2768996075.97,239579.9223
"17110",54,394,7496,1743542.55719,3588231108.57,19514,2269045.99455,2958449434.35,239596.7
"17117",26,393,3908,1385356.19187,944438320.092,12219,2180114.27068,2583118256.45,239670.8019
"17123",162,196,4472,1087840.26405,1164200708.05,3489,711644.720915,931211320.671,239727.8584
"17144",151,211,22241,3147846.5546,2581405676.79,22810,1003947.61376,1482326892.8,239957.2745
"17149",50,394,10880,1109494.62789,1634992073.48,19514,2269045.99455,2958449434.35,240008.3125
"17158",28,190,6049,644498.607186,451560914.395,11327,1453769.54938,1253986034.33,240039.221
"17185",26,166,3908,1385356.19187,944438320.092,7947,1973887.79158,2383726910.88,240221.057
"17187",27,190,13653,2093613.60365,1231105140.44,11327,1453769.54938,1253986034.33,240233.4037
"17195",156,204,11821,2108768.4648,2399304474.9,3405,633931.66063,1246649832.2,240269.0709
"17202",25,163,3170,1425934.38347,926104627.813,5807,2029951.87686,3143356248.5,240305.229
"17217",59,172,2618,312023.509273,498690546.22,10117,3003563.93521,3184286865.45,240367.1135
"17238",33,165,13956,2689645.37194,1798344837.1,4422,1834982.23088,1619720716.8,240559.8161
"17267",30,157,13119,4095857.55159,2386103901.41,6444,762387.267075,2013881876.76,240752.9398
"17337",165,175,4422,1834982.23088,1619720716.8,17187,2353037.01825,2922732511.91,241270.8544
"17341",61,192,8912,1517995.98185,1978683680.72,6804,254705.268791,468640572.712,241284.5284
"17348",148,177,421,678967.659273,653775833.434,13356,809238.423438,1071549764.86,241316.3819
"17354",27,168,13653,2093613.60365,1231105140.44,723,292231.105356,563366373.427,241351.9495
"17361",154,393,12648,996600.27872,1230838377.06,12219,2180114.27068,2583118256.45,241399.4094
"17366",166,175,7947,1973887.79158,2383726910.88,17187,2353037.01825,2922732511.91,241426.8791
"17367",159,211,5153,282045.166749,188168169.193,22810,1003947.61376,1482326892.8,241429.6529
"17388",166,177,7947,1973887.79158,2383726910.88,13356,809238.423438,1071549764.86,241588.8273
"17396",23,163,489,553095.217362,722734396.623,5807,2029951.87686,3143356248.5,241630.6191
"17400",192,398,6804,254705.268791,468640572.712,18273,2865499.78312,2853081750.53,241662.2058
"17410",166,208,7947,1973887.79158,2383726910.88,9352,1548478.95706,1780963677.62,241714.9672
"17422",149,393,3286,832440.708965,527986571.806,12219,2180114.27068,2583118256.45,241801.6874
"17433",59,176,2618,312023.509273,498690546.22,7281,994620.80025,1612982961.02,241869.2176
"17442",164,208,4422,1353925.34857,1298060591.31,9352,1548478.95706,1780963677.62,241903.8168
"17462",42,177,8402,438182.504918,468727696.46,13356,809238.423438,1071549764.86,242076.4356
"17482",164,191,4422,1353925.34857,1298060591.31,12392,851620.791604,1335617285.69,242215.224
"17503",43,161,920,329116.870826,556605641.277,14629,2385326.96972,2453624839.04,242382.1598
"17526",152,212,4405,401341.364698,370814966.197,12839,2820052.67618,3728259662.3,242595.145
"17533",152,174,4405,401341.364698,370814966.197,2170,673784.609775,733950779.508,242658.0489
"17542",168,177,723,292231.105356,563366373.427,13356,809238.423438,1071549764.86,242740.837
"17554",148,169,421,678967.659273,653775833.434,11576,1654242.92381,2374629754,242837.2448
"17563",53,393,4682,912665.799095,1487622720.29,12219,2180114.27068,2583118256.45,242899.387
"17571",158,193,1567,214287.566148,559532664.465,1139,246566.008858,747489017.086,242941.4381
"17576",21,169,1267,568204.43722,755611618.824,11576,1654242.92381,2374629754,242975.5666
"17581",30,168,13119,4095857.55159,2386103901.41,723,292231.105356,563366373.427,243004.9629
"17612",41,173,11123,820589.353485,977864406.906,1505,658235.945779,635414583.385,243208.8074
"17616",159,179,5153,282045.166749,188168169.193,657,146939.477626,219121912.887,243228.9408
"17620",22,190,673,819693.164624,781914542.069,11327,1453769.54938,1253986034.33,243252.6122
"17623",159,192,5153,282045.166749,188168169.193,6804,254705.268791,468640572.712,243283.4792
"17655",21,165,1267,568204.43722,755611618.824,4422,1834982.23088,1619720716.8,243599.8554
"17667",167,403,1567,507664.349505,919263103.236,15441,2169803.70952,3282264497.41,243700.6001
"17676",27,50,13653,2093613.60365,1231105140.44,10880,1109494.62789,1634992073.48,243758.0081
"17685",41,172,11123,820589.353485,977864406.906,10117,3003563.93521,3184286865.45,243846.7442
"17699",162,203,4472,1087840.26405,1164200708.05,4917,448622.339202,503930913.697,243899.0129
"17745",163,179,5807,2029951.87686,3143356248.5,657,146939.477626,219121912.887,244278.8189
"17747",152,176,4405,401341.364698,370814966.197,7281,994620.80025,1612982961.02,244289.4932
"17758",149,168,3286,832440.708965,527986571.806,723,292231.105356,563366373.427,244382.9057
"17773",52,171,3322,644082.819848,1222412983.43,8888,1865098.79141,1899080337.91,244536.3913
"17778",156,195,11821,2108768.4648,2399304474.9,2964,964286.576005,1065870641.82,244575.9299
"17793",32,43,4122,815584.334193,1103268621.73,920,329116.870826,556605641.277,244649.186
"17794",162,208,4472,1087840.26405,1164200708.05,9352,1548478.95706,1780963677.62,244650.0998
"17796",174,403,2170,673784.609775,733950779.508,15441,2169803.70952,3282264497.41,244656.6994
"17827",190,196,11327,1453769.54938,1253986034.33,3489,711644.720915,931211320.671,244876.983
"17840",50,169,10880,1109494.62789,1634992073.48,11576,1654242.92381,2374629754,244999.1796
"17860",164,196,4422,1353925.34857,1298060591.31,3489,711644.720915,931211320.671,245206.7031
